scheme,candidate,feature,global_center,bin,low,high,feature_center,events,signal_center,relative_response
contiguous_file_block,A2_s1_dt_r2,fileNumber,0.9975155482833596,0,0.0,208.0,106.0,897,1.0097910778450327,1.012306103481593
contiguous_file_block,A2_s1_dt_r2,fileNumber,0.9975155482833596,1,208.0,397.0,303.0,901,1.0011351700222821,1.003628636912128
contiguous_file_block,A2_s1_dt_r2,fileNumber,0.9975155482833596,2,397.0,590.0,496.0,898,0.9954761246567432,0.9979554969041574
contiguous_file_block,A2_s1_dt_r2,fileNumber,0.9975155482833596,3,590.0,799.0,697.0,902,0.997168684666669,0.9996522724710531
contiguous_file_block,A2_s1_dt_r2,fileNumber,0.9975155482833596,4,799.0,999.0,902.0,902,0.9967267408867686,0.9992092279684778
contiguous_file_block,A3_s2_lifetime_r2,dt_us,0.9999319326256411,0,10.112,292.3052,214.621,900,0.9426467084552149,0.9427108763093449
contiguous_file_block,A3_s2_lifetime_r2,dt_us,0.9999319326256411,1,292.3052,380.4608,339.883,900,0.975932799502262,0.9759992332074428
contiguous_file_block,A3_s2_lifetime_r2,dt_us,0.9999319326256411,2,380.4608,458.34200000000004,417.798,900,0.9925625742305879,0.9926301399579244
contiguous_file_block,A3_s2_lifetime_r2,dt_us,0.9999319326256411,3,458.34200000000004,553.3672,501.149,900,1.0215055308901828,1.021575066822692
contiguous_file_block,A3_s2_lifetime_r2,dt_us,0.9999319326256411,4,553.3672,842.3,635.726,900,1.0565692125488586,1.0566411353365806
contiguous_file_block,A3_s2_lifetime_r2,r2,0.9999319326256411,0,794.7260927052007,116121.5027526799,101949.80228321339,900,1.0115517983764515,1.011620656738403
contiguous_file_block,A3_s2_lifetime_r2,r2,0.9999319326256411,1,116121.5027526799,125947.79815012205,122035.51647905367,900,0.9814235151908444,0.9814903226600665
contiguous_file_block,A3_s2_lifetime_r2,r2,0.9999319326256411,2,125947.79815012205,131626.35543508327,128983.76821730396,900,0.9978239181258863,0.9978918420034657
contiguous_file_block,A3_s2_lifetime_r2,r2,0.9999319326256411,3,131626.35543508327,137797.2000092193,134381.02785862517,900,1.0054784339238916,1.0055468788597304
contiguous_file_block,A3_s2_lifetime_r2,r2,0.9999319326256411,4,137797.2000092193,211200.55667431746,142702.498946345,900,1.010222791021904,1.0102915589156563
contiguous_file_block,A3_s2_lifetime_r2,fileNumber,0.9999319326256411,0,0.0,208.0,106.0,897,0.9939377481086955,0.994005407446879
contiguous_file_block,A3_s2_lifetime_r2,fileNumber,0.9999319326256411,1,208.0,397.0,303.0,901,1.0011319346815335,1.0012000837424417
contiguous_file_block,A3_s2_lifetime_r2,fileNumber,0.9999319326256411,2,397.0,590.0,496.0,898,0.9991035747943159,0.999171585780694
contiguous_file_block,A3_s2_lifetime_r2,fileNumber,0.9999319326256411,3,590.0,799.0,697.0,902,1.0010108051342503,1.0010789459496272
contiguous_file_block,A3_s2_lifetime_r2,fileNumber,0.9999319326256411,4,799.0,999.0,902.0,902,1.0063639766059653,1.0064324818224726
contiguous_file_block,A4_both,dt_us,0.999902756903184,0,10.112,292.3052,214.621,900,0.9814170100246288,0.981512455335349
contiguous_file_block,A4_both,dt_us,0.999902756903184,1,292.3052,380.4608,339.883,900,0.9946780142289133,0.9947747492061605
contiguous_file_block,A4_both,dt_us,0.999902756903184,2,380.4608,458.34200000000004,417.798,900,1.0009708090293046,1.0010681559969177
contiguous_file_block,A4_both,dt_us,0.999902756903184,3,458.34200000000004,553.3672,501.149,900,1.0067554633949918,1.0068533729350155
contiguous_file_block,A4_both,dt_us,0.999902756903184,4,553.3672,842.3,635.726,900,1.0108371458411005,1.0109354523351668
contiguous_file_block,A4_both,r2,0.999902756903184,0,794.7260927052007,116121.5027526799,101949.80228321339,900,1.0230127882856124,1.0231122788920024
contiguous_file_block,A4_both,r2,0.999902756903184,1,116121.5027526799,125947.79815012205,122035.51647905367,900,0.9954402399535129,0.9955370490591585
contiguous_file_block,A4_both,r2,0.999902756903184,2,125947.79815012205,131626.35543508327,128983.76821730396,900,1.0025638456683112,1.002661347562806
contiguous_file_block,A4_both,r2,0.999902756903184,3,131626.35543508327,137797.2000092193,134381.02785862517,900,0.9993651152306489,0.9994623060404391
contiguous_file_block,A4_both,r2,0.999902756903184,4,137797.2000092193,211200.55667431746,142702.498946345,900,0.9694662946780677,0.969560577751199
contiguous_file_block,A4_both,fileNumber,0.999902756903184,0,0.0,208.0,106.0,897,1.0042281886331776,1.0043258523892764
contiguous_file_block,A4_both,fileNumber,0.999902756903184,1,208.0,397.0,303.0,901,0.9998533747902065,0.999950613084486
contiguous_file_block,A4_both,fileNumber,0.999902756903184,2,397.0,590.0,496.0,898,1.0005208404570247,1.000618143664045
contiguous_file_block,A4_both,fileNumber,0.999902756903184,3,590.0,799.0,697.0,902,0.9988689826412662,0.9989661252008951
contiguous_file_block,A4_both,fileNumber,0.999902756903184,4,799.0,999.0,902.0,902,0.9980078255173501,0.9981048843272493
contiguous_file_block,A5_both_file_linear,dt_us,1.0016856433655208,0,10.112,292.3052,214.621,900,0.9828937059525162,0.981239685786185
contiguous_file_block,A5_both_file_linear,dt_us,1.0016856433655208,1,292.3052,380.4608,339.883,900,0.9969048867016972,0.995227288425777
contiguous_file_block,A5_both_file_linear,dt_us,1.0016856433655208,2,380.4608,458.34200000000004,417.798,900,1.0024526032189487,1.000765669208207
contiguous_file_block,A5_both_file_linear,dt_us,1.0016856433655208,3,458.34200000000004,553.3672,501.149,900,1.0084250791010927,1.0067280945676014
contiguous_file_block,A5_both_file_linear,dt_us,1.0016856433655208,4,553.3672,842.3,635.726,900,1.013480994294464,1.0117755016327403
contiguous_file_block,A5_both_file_linear,r2,1.0016856433655208,0,794.7260927052007,116121.5027526799,101949.80228321339,900,1.024361585510271,1.0226377829161675
contiguous_file_block,A5_both_file_linear,r2,1.0016856433655208,1,116121.5027526799,125947.79815012205,122035.51647905367,900,0.9983013358773528,0.996621387647329
contiguous_file_block,A5_both_file_linear,r2,1.0016856433655208,2,125947.79815012205,131626.35543508327,128983.76821730396,900,1.0043395489288187,1.002649439553093
contiguous_file_block,A5_both_file_linear,r2,1.0016856433655208,3,131626.35543508327,137797.2000092193,134381.02785862517,900,1.0006466164858767,0.998962721601806
contiguous_file_block,A5_both_file_linear,r2,1.0016856433655208,4,137797.2000092193,211200.55667431746,142702.498946345,900,0.9690069834253826,0.9673763319295038
contiguous_file_block,A5_both_file_linear,fileNumber,1.0016856433655208,0,0.0,208.0,106.0,897,1.009647506849484,1.007948465206322
contiguous_file_block,A5_both_file_linear,fileNumber,1.0016856433655208,1,208.0,397.0,303.0,901,1.0004523959083302,0.9987688278599591
contiguous_file_block,A5_both_file_linear,fileNumber,1.0016856433655208,2,397.0,590.0,496.0,898,1.0006300981325857,0.9989462310457116
contiguous_file_block,A5_both_file_linear,fileNumber,1.0016856433655208,3,590.0,799.0,697.0,902,0.9991264707865415,0.9974451340139199
contiguous_file_block,A5_both_file_linear,fileNumber,1.0016856433655208,4,799.0,999.0,902.0,902,1.0010564735057814,0.9993718889115497
