outer_fold,s1,s2,alpha,inner_r68,inner_sigma_over_mu,inner_fit_p,inner_fit_success
3,qS1ub_C,qS2Bdesub_C_stretch,0.44999999999999996,0.0669250260857591,0.05421570610342085,0.0055796967126065244,True
3,qS1ub_C,qS2Bub_C_stretch,0.44999999999999996,0.06692532762887661,0.054196813351479536,0.004930353073730842,True
3,qS1ub_C,qS2Bub_C_stretch,0.5499999999999999,0.06697271331817153,0.04893787473388315,7.768707026435415e-11,True
3,qS1ub_C,qS2Bdesub_C_stretch,0.5499999999999999,0.06697277442627712,0.04892471906874867,3.3385931248582105e-11,True
3,qS1_max,qS2Bdesub_C,0.35,0.0674747362991786,0.053647046339116086,0.03138578405697254,True
3,qS1_max,qS2Bub_C,0.35,0.06747504392772681,0.05358674778033184,0.02488999026337774,True
3,qS1ub_C,qS2Bub_C,0.39999999999999997,0.06753917955295237,0.055997811315416,5.791563001392434e-07,True
3,qS1ub_C,qS2Bdesub_C,0.39999999999999997,0.06753954906606971,0.055975685738477506,9.703614790427845e-07,True
3,qS1ub_C,qS2BdesC_desImageMCPAF_maxS2,0.44999999999999996,0.06787402306742105,0.05109670577807946,4.909535389444693e-08,True
3,qS1ub_C,qS2BC_desImageMCPAF_maxS2,0.44999999999999996,0.06787422879052751,0.05110347890413262,5.299466475231648e-08,True
4,qS1ub_C,qS2Bdesub_C,0.49999999999999994,0.06564949586526385,0.053342634029460795,2.4726370640037887e-05,True
4,qS1ub_C,qS2Bub_C,0.49999999999999994,0.0656784766778755,0.05328220617864329,1.5765923970403412e-05,True
4,qS1ub_C,qS2Bub_C,0.5499999999999999,0.06596286881345893,0.04900439840591384,7.364214736660142e-10,True
4,qS1ub_C,qS2Bdesub_C,0.5499999999999999,0.06596325677549902,0.04897958848404145,8.9295820793805e-10,True
4,qS1ub_C,qS2BdesC_desImageMCPAF_maxS2,0.5499999999999999,0.0659857717916792,0.05007822125236713,1.2248533603437074e-15,True
4,qS1ub_C,qS2BC_desImageMCPAF_maxS2,0.5499999999999999,0.06598693102835755,0.05010627570912459,1.2675011722227434e-15,True
4,qS1ub_C,qS2Bdesub_C_stretch,0.49999999999999994,0.06607922051586687,0.05267882926035062,0.008960070981073332,True
4,qS1ub_C,qS2Bub_C_stretch,0.49999999999999994,0.06611250210229402,0.05269012096230823,0.008322216768501615,True
4,qS1ub_C,qS2Bub_C_stretch,0.5499999999999999,0.06627882623484702,0.04907458547445811,1.6651097546190028e-09,True
4,qS1ub_C,qS2Bdesub_C_stretch,0.5499999999999999,0.06627916219443077,0.049080953495186715,1.8140494237811334e-09,True
4,qS1ub_C,qS2Bub_C,0.44999999999999996,0.06634388288017325,0.05413411429496132,0.009641513849193945,True
4,qS1ub_C,qS2Bdesub_C,0.44999999999999996,0.06634467826427791,0.05421110242728997,0.011785457135841445,True
4,qS1ub_C,qS2BC_ImageMCPAF_total_stretch_maxS2forMS,0.5499999999999999,0.06656962520849687,0.05157015127564506,2.0654583098077087e-12,True
4,qS1ub_C,qS2BdesC_ImageMCPAF_total_stretch_firstS2forMS,0.5499999999999999,0.06656962520849687,0.05156108654006961,1.8703225596245444e-12,True
4,qS1ub_C,qS2BC_ImageMCPAF_total_stretch_firstS2forMS,0.5499999999999999,0.06656962520849687,0.05157015127564506,2.0654583098077087e-12,True
4,qS1ub_C,qS2BdesC_ImageMCPAF_total_stretch_maxS2forMS,0.5499999999999999,0.06656962520849687,0.05156108654006961,1.8703225596245444e-12,True
4,qS1ub_C,qS2Bdesub_C_stretch,0.44999999999999996,0.06699442691429756,0.055053422950486514,0.23808590638131785,True
4,qS1ub_C,qS2Bub_C_stretch,0.44999999999999996,0.06699452624101132,0.05504067257512687,0.2337365111818473,True
