scheme,replicate,raw_r68,winner_r68,delta_r68,ratio_r68,raw_r90,winner_r90,delta_r90,ratio_r90
event_random5,35,0.07952803817934745,0.05882555643620671,-0.020702481743140738,0.7396832335225774,0.1463363474273344,0.1171813971212103,-0.029154950306124097,0.8007675412248386
event_random5,36,0.07938562169865672,0.059228719789743985,-0.020156901908912735,0.7460887566588924,0.14936631720710608,0.12030723869726431,-0.029059078509841768,0.8054509272693021
event_random5,37,0.07997294467526381,0.05873194127534036,-0.02124100339992345,0.7343976330223408,0.15229184801005155,0.11913959467959989,-0.03315225333045166,0.7823110444607413
event_random5,38,0.079641511746654,0.05873097236615081,-0.02091053938050319,0.7374417069452263,0.14763670267488566,0.11865584123501892,-0.028980861439866737,0.8037015124641046
event_random5,39,0.08019354506508099,0.060425265909294985,-0.019768279155786002,0.753492888489428,0.1538185391555142,0.12368440132220478,-0.030134137833309413,0.8040929396498618
event_random5,40,0.08227823468983131,0.061234578044818175,-0.021043656645013134,0.7442378689292187,0.15409070731244606,0.12099650459009932,-0.03309420272234674,0.785229081626302
event_random5,41,0.08004256665199491,0.05932179586476535,-0.02072077078722956,0.7411281065321369,0.14898627399253,0.11678998970475536,-0.03219628428777464,0.7838976475820254
event_random5,42,0.0793700511012943,0.0582701840606616,-0.0210998670406327,0.7341583286408062,0.15275369517944268,0.11690056620409504,-0.035853128975347634,0.7652879759587466
event_random5,43,0.08227920409047709,0.05913746667130248,-0.023141737419174614,0.7187413554252767,0.15106640908293678,0.11895048008896811,-0.03211592899396867,0.787405226688504
event_random5,44,0.08080863737608207,0.05746673053806851,-0.023341906838013564,0.7111458923706298,0.14914058677894856,0.11785824070765452,-0.03128234607129404,0.7902492758885297
event_random5,45,0.08209817333800692,0.059606284996473795,-0.02249188834153313,0.7260366774674556,0.15171640144280316,0.11934277278417543,-0.03237362865862772,0.7866174760885525
event_random5,46,0.0794104749624401,0.05863422746928132,-0.020776247493158775,0.7383689305096637,0.15205146428545815,0.11771048931531478,-0.03434097497014338,0.7741490019085093
event_random5,47,0.07766366822924033,0.057823918920319656,-0.01983974930892067,0.7445427216963335,0.14883008792585117,0.11739949774479094,-0.03143059018106023,0.7888156177350423
event_random5,48,0.08058987720297812,0.061015234048691046,-0.01957464315428708,0.7571079168543055,0.15266287013315116,0.12039091364794972,-0.03227195648520144,0.7886063817806246
event_random5,49,0.08133546704819195,0.05895953543023452,-0.022375931617957423,0.7248933038682929,0.14842668685754146,0.11840349661128506,-0.030023190246256395,0.7977237727129733
