method,alpha,scale_train,validation_resolution,validation_mu,validation_sigma,validation_signal_fraction,fit_success
s1_only_corrected,0.5900000000000001,0.9241698945283772,0.09432073314551666,1.0352074443188575,0.09764152510585125,0.8834414551307628,True
s1_only_corrected,0.61,0.9241698945283772,0.09432104521968392,1.0352073370318102,0.09764183804792594,0.883446418383909,True
s1_only_corrected,0.63,0.9241698945283772,0.0943201834521533,1.0352069281471883,0.09764090737378288,0.8834309172244469,True
s1_only_corrected,0.65,0.9241698945283772,0.09432074773535162,1.0352072502087604,0.09764152190074751,0.8834420558421338,True
s1_only_corrected,0.67,0.9241698945283772,0.09432091904986453,1.0352072305828295,0.09764169739563751,0.8834448219727026,True
s1_only_corrected,0.6900000000000001,0.9241698945283772,0.09432111129288408,1.0352074871649581,0.09764192060811289,0.8834473305754559,True
s1_only_corrected,0.7100000000000001,0.9241698945283772,0.09432087030077609,1.0352070987433388,0.09764163449501316,0.8834441045859712,True
s1_only_corrected,0.7300000000000001,0.9241698945283772,0.0943206580387356,1.0352071704786587,0.09764142152596464,0.8834392950865287,True
s1_only_corrected,0.75,0.9241698945283772,0.09432124452297307,1.0352074672487688,0.09764205665037876,0.8834500406482391,True
s1_only_corrected,0.77,0.9241698945283772,0.0943200874903746,1.0352067828016465,0.09764079432448051,0.8834288774324903,True
s1_only_corrected,0.79,0.9241698945283772,0.09432007156760978,1.0352068121159148,0.09764078060605026,0.8834288453450055,True
s1_only_corrected,0.81,0.9241698945283772,0.09431983318332526,1.0352068116934208,0.09764053378916546,0.8834249523041879,True
s1_only_corrected,0.8300000000000001,0.9241698945283772,0.09432092871821987,1.0352076532328318,0.09764174726912961,0.8834477988166268,True
s1_only_corrected,0.8500000000000001,0.9241698945283772,0.09432073285852428,1.0352073304303158,0.09764151406670389,0.8834410876968934,True
s1_only_corrected,0.87,0.9241698945283772,0.09432122912389594,1.0352073539935687,0.09764203002676944,0.8834505006270498,True
s1_only_corrected,0.89,0.924169894528377,0.09432049607478488,1.0352070523845884,0.0976412427210302,0.883437062430907,True
s1_only_corrected,0.91,0.9241698945283772,0.09432133818148647,1.035207654101332,0.097642171230555,0.8834525960943057,True
s1_only_corrected,0.93,0.9241698945283772,0.09432003766031186,1.0352071123190012,0.09764077382015088,0.8834295951013571,True
s1_only_corrected,0.9500000000000001,0.9241698945283772,0.09432039978947655,1.0352070320573448,0.09764114112852623,0.88343629482844,True
s1_only_corrected,0.97,0.9241698945283772,0.09432145047073262,1.0352075147034414,0.09764227432503086,0.8834541658886507,True
s2b_only_lifetime,0.03,1.0019633927029221,0.10550472104708461,1.0109018685878868,0.10665491965134158,0.9457838113442029,True
s2b_only_lifetime,0.05,1.0019633927029223,0.10550455989938676,1.010902687278498,0.10665484312242535,0.945784841483816,True
s2b_only_lifetime,0.07,1.0019633927029221,0.10550450233766075,1.010902715590616,0.10665478792017775,0.9457845587589795,True
s2b_only_lifetime,0.09,1.0019633927029226,0.10550452100077146,1.0109025444251614,0.10665478872803774,0.9457844759766534,True
s2b_only_lifetime,0.11,1.0019633927029226,0.10550454324081107,1.0109026129890475,0.10665481844435186,0.945784737353277,True
s2b_only_lifetime,0.13,1.0019633927029226,0.10550452823560133,1.0109025859403518,0.10665480042178624,0.9457846616047001,True
s2b_only_lifetime,0.15,1.0019633927029223,0.10550450754598152,1.0109027170214178,0.1066547933362394,0.9457845570248495,True
s2b_only_lifetime,0.17,1.0019633927029223,0.10550450943649153,1.0109027148421978,0.10665479501744357,0.9457845329186468,True
s2b_only_lifetime,0.19,1.0019633927029223,0.10550435350007634,1.0109021706124426,0.10665457996228962,0.9457843170703256,True
s2b_only_lifetime,0.21,1.0019633927029223,0.10550461658988629,1.0109025999745507,0.10665489122003416,0.9457853901782282,True
s2b_only_lifetime,0.23,1.0019633927029223,0.10550454343595345,1.010902673813295,0.10665482505885625,0.9457849302912203,True
s2b_only_lifetime,0.25,1.0019633927029223,0.1055045408343466,1.0109028155840618,0.1066548373863446,0.945784635264299,True
s2b_only_lifetime,0.27,1.0019633927029223,0.10550539062179665,1.0109027794506114,0.1066556926265967,0.9457893272633242,True
s2b_only_lifetime,0.29000000000000004,1.0019633927029223,0.1055043934626154,1.010902192463067,0.10665462266584398,0.9457844193199191,True
s2b_only_lifetime,0.31000000000000005,1.0019633927029223,0.1055045683650037,1.01090272837491,0.10665485601619945,0.9457843248138019,True
s2b_only_lifetime,0.32999999999999996,1.0019633927029223,0.10550451177784771,1.0109026770638936,0.10665479339854535,0.9457845722981699,True
s2b_only_lifetime,0.35,1.0019633927029223,0.10550457558754749,1.0109027763962675,0.10665486838396161,0.9457843579567436,True
s2b_only_lifetime,0.37,1.0019633927029223,0.10550453482690048,1.0109027166136264,0.10665482087157065,0.945784665991757,True
